Pop,DaystoTop,Valence4,Highest_Charting_Position,Number_of_Times_Charted,Release_Date,Song_Name,Song_ID,Genre,Acousticness,Tempo,Valence,Chord,EndHighWeek,HighestPos,Valence1,Valence2,Valence3,Valence5
0,13 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,35 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,62 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,91 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,129 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,140 days,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,154 days,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,167 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,213 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,217 days,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,217 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,222 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,224 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,224 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,224 days,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0,266 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,308 days,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,329 days,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,342 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,403 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,465 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,469 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,476 days,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,488 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,497 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,497 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,500 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,511 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,520 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,539 days,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,546 days,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,553 days,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,553 days,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,557 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,560 days,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,560 days,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,560 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,574 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,584 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,587 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,588 days,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,21 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,56 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2208 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
