Pop,DaystoTop,Valence,Highest_Charting_Position,Number_of_Times_Charted,HighestPos
2,771 days,0.56,182,1,1
2,785 days,0.724,85,1,1
2,1115 days,0.366,167,1,1
2,1176 days,0.912,104,1,1
2,1470 days,0.224,74,3,1
2,1519 days,0.684,89,3,1
2,2177 days,0.289,152,1,1
2,2212 days,0.344,83,3,1
2,2268 days,0.558,119,1,1
2,2580 days,0.754,147,1,1
2,2614 days,0.689,9,7,0
2,2968 days,0.363,6,7,0
2,2968 days,0.396,117,1,1
2,2968 days,0.699,21,6,1
2,3646 days,0.854,15,6,0
2,3678 days,0.443,52,5,1
2,3734 days,0.414,24,5,1
2,5472 days,0.412,161,1,1
2,6203 days,0.349,17,6,0
2,6667 days,0.963,14,6,0
2,6933 days,0.49,126,1,1
2,7346 days,0.702,86,2,1
2,7798 days,0.718,60,5,1
2,8092 days,0.756,184,1,1
2,9544 days,0.836,19,6,0
2,9855 days,0.466,192,1,1
2,10623 days,0.96,38,5,1
2,11224 days,0.677,175,1,1
2,11316 days,0.8,127,1,1
2,11799 days,0.428,47,5,1
2,13569 days,0.84,71,3,1
2,14603 days,0.407,145,1,1
2,14812 days,0.771,83,2,1
2,14833 days,0.771,23,4,1
2,17248 days,0.819,66,4,1
2,18334 days,0.614,123,1,1
2,20447 days,0.888,42,5,1
2,20521 days,0.898,5,7,0
2,20851 days,0.776,8,7,0
2,21178 days,0.36,69,6,1
2,21178 days,0.853,16,6,0
2,21543 days,0.209,32,5,1
2,22639 days,0.537,144,1,1
2,22639 days,0.701,11,6,0
2,22639 days,0.857,156,1,1
2,23034 days,0.806,7,7,0
2,23082 days,0.58,62,4,1
2,28848 days,0.247,39,5,1
3,0 days,0.311,140,1,1
3,0 days,0.575,180,2,1
3,0 days,0.874,7,1,0
3,1 days,0.237,112,2,1
3,1 days,0.315,110,2,1
3,1 days,0.547,184,1,1
3,5 days,0.317,56,3,1
3,5 days,0.489,49,1,1
3,5 days,0.495,59,3,1
3,5 days,0.586,116,1,1
3,5 days,0.588,48,6,1
3,5 days,0.675,131,1,1
3,5 days,0.697,47,8,1
3,5 days,0.712,60,5,1
3,5 days,0.835,26,35,1
3,5 days,0.843,82,2,1
3,5 days,0.92,83,1,1
3,6 days,0.0363,71,3,1
3,6 days,0.184,45,4,1
3,6 days,0.446,57,3,1
3,6 days,0.46,65,5,1
3,6 days,0.514,70,3,1
3,6 days,0.528,99,2,1
3,6 days,0.542,63,4,1
3,6 days,0.543,69,3,1
3,6 days,0.586,14,17,0
3,6 days,0.634,66,3,1
3,6 days,0.658,104,2,1
3,6 days,0.662,44,5,1
3,6 days,0.742,29,6,1
3,6 days,0.81,60,3,1
3,6 days,0.879,55,4,1
3,6 days,0.968,129,4,1
3,7 days,0.0376,97,1,1
3,7 days,0.0397,23,21,1
3,7 days,0.0495,73,1,1
3,7 days,0.0508,66,1,1
3,7 days,0.0599,21,2,1
3,7 days,0.0611,90,2,1
3,7 days,0.0642,97,1,1
3,7 days,0.0657,190,1,1
3,7 days,0.0663,104,1,1
3,7 days,0.0687,70,1,1
3,7 days,0.0786,185,1,1
3,7 days,0.0807,49,4,1
3,7 days,0.0818,113,2,1
3,7 days,0.0916,38,2,1
3,7 days,0.104,15,3,0
3,7 days,0.108,24,3,1
3,7 days,0.109,93,9,1
3,7 days,0.111,10,4,0
3,7 days,0.112,98,1,1
3,7 days,0.113,33,2,1
3,7 days,0.114,16,7,0
3,7 days,0.118,52,4,1
3,7 days,0.12,45,8,1
3,7 days,0.128,36,2,1
3,7 days,0.13,195,1,1
3,7 days,0.141,160,2,2
3,7 days,0.142,85,1,1
3,7 days,0.143,108,3,1
3,7 days,0.147,45,2,1
3,7 days,0.148,122,5,2
3,7 days,0.149,52,7,1
3,7 days,0.152,4,9,0
3,7 days,0.153,153,8,2
3,7 days,0.157,36,2,1
3,7 days,0.158,206,4,2
3,7 days,0.161,69,22,1
3,7 days,0.167,44,2,1
3,7 days,0.168,37,2,1
3,7 days,0.172,5,7,0
3,7 days,0.176,179,1,1
3,7 days,0.177,8,8,0
3,7 days,0.185,150,1,1
3,7 days,0.187,86,6,1
3,7 days,0.19,75,1,1
3,7 days,0.192,177,1,1
3,7 days,0.194,29,2,1
3,7 days,0.195,105,23,3
3,7 days,0.196,94,3,2
3,7 days,0.198,27,4,1
3,7 days,0.202,53,2,1
3,7 days,0.203,18,2,0
3,7 days,0.207,10,4,0
3,7 days,0.211,28,1,1
3,7 days,0.22,49,4,1
3,7 days,0.221,74,5,2
3,7 days,0.223,55,1,1
3,7 days,0.224,48,1,1
3,7 days,0.226,28,2,1
3,7 days,0.227,30,1,1
3,7 days,0.231,261,20,3
3,7 days,0.234,24,3,1
3,7 days,0.235,36,2,1
3,7 days,0.239,236,2,2
3,7 days,0.241,162,7,1
3,7 days,0.243,65,4,2
3,7 days,0.248,179,1,1
3,7 days,0.249,138,1,1
3,7 days,0.252,101,27,1
3,7 days,0.259,14,26,0
3,7 days,0.26,238,3,2
3,7 days,0.262,126,1,1
3,7 days,0.268,190,1,1
3,7 days,0.271,143,1,1
3,7 days,0.272,114,1,1
3,7 days,0.273,66,11,1
3,7 days,0.274,49,2,1
3,7 days,0.278,57,3,1
3,7 days,0.28,163,28,1
3,7 days,0.281,68,1,1
3,7 days,0.286,27,33,0
3,7 days,0.287,57,1,1
3,7 days,0.289,80,1,1
3,7 days,0.292,39,1,1
3,7 days,0.294,48,1,1
3,7 days,0.295,43,2,1
3,7 days,0.298,46,2,1
3,7 days,0.303,130,1,1
3,7 days,0.305,89,2,1
3,7 days,0.307,30,9,1
3,7 days,0.312,74,1,1
3,7 days,0.316,55,1,1
3,7 days,0.318,63,1,1
3,7 days,0.319,97,3,2
3,7 days,0.32,53,8,1
3,7 days,0.321,119,1,1
3,7 days,0.322,38,2,1
3,7 days,0.323,53,1,1
3,7 days,0.324,43,41,1
3,7 days,0.328,50,5,1
3,7 days,0.332,79,1,1
3,7 days,0.333,78,9,2
3,7 days,0.336,69,1,1
3,7 days,0.338,84,1,1
3,7 days,0.339,189,3,2
3,7 days,0.341,92,4,2
3,7 days,0.344,363,2,2
3,7 days,0.348,22,2,1
3,7 days,0.351,171,4,2
3,7 days,0.353,70,4,1
3,7 days,0.354,38,1,1
3,7 days,0.357,175,1,1
3,7 days,0.36,43,12,1
3,7 days,0.361,165,1,1
3,7 days,0.364,65,5,1
3,7 days,0.366,102,1,1
3,7 days,0.367,168,1,1
